id,login,private,open_issues,stars_data
12292047,,,4,1
61131314,,,2,1
42392347,,,8,1
43814157,,,1,1
20734038,,,25,1
17373317,,,0,1
16165980,,,0,1
44642314,,,2,1
58392246,,,0,1
63254295,,1,11,1
455338,,,1,1
6935431,,,11,1
25751316,,,1,1
19475228,,,1,1
31478648,,,1,1
22620727,,,1,1
46935495,,,1,1
72912813,,,1,1
22655167,,,1,1
68660520,,,2,1
71386305,,,1,1
3754311,,,2,1
69519470,,,2,1
35429278,,,3,1
15004099,,,1,1
16259450,,,1,1
6241164,,,1,1
351693,,,0,1
1645628,,,8,1
60850993,,,1,1
70440141,,,1,1
3846874,,1,3,1
40713709,,,1,1
43081882,,,1,1
9696352,,,1,1
1368727,,,4,1
1033332,,,3,1
59939260,,,1,1
55907631,,,1,1
907680,,,5,1
2237343,,,0,1
2658040,,1,2,1
622115,,,2,1
656318,ramonh,,0,1
3941856,prophen,,0,1
7860023,anis00723,,2,1
16268467,Wisheechia,1,0,1
23166349,ChamMach,,4,1
1645545,Parijat-K,,4,1
50591491,cryptus-neoxys,,1,1
24553355,vtcaregorodtcev,,2,1
11067335,TerrelRJones,,0,1
4066445,johnyu0424,,13,1
7293310,saitho,,6,1
2480219,eriber,,0,1
20374545,Leonardo-Borba,,2,1
2339101,akovalyov,,0,1
5901851,jayteealao,,1,1
2607477,cmdaltent,,0,1
19617280,a-trost,,2,1
43640229,dharshatharan,,1,1
4910518,leftrightleft,,0,1
29417643,ASRicketts,,0,1
12410942,choznerol,,17,1
12849040,twjasa,,0,1
71458737,sans-eng,,0,1
20727421,ryan3738,,0,1
1930729,nersoh,,1,1
71297412,samuelsycamore,,1,1
11858762,git-srinivas,,12,1
79887,cybernetics,,0,1
1917293,ronna,,0,1
91016903,nayabatir1,,0,1
2609511,hackintoshrao,,0,1
9968219,ramazansakin,,0,1
46695719,Mich45,,0,1
83433840,abirismyname,,1,1
45036724,zuramai,,0,1
59651629,codertushar,,0,1
35779241,rgreen32,,0,1
3202514,demilolu,,0,1
67718832,matt-wiley,,0,1
4386534,ilangorajagopal,,7,1
55982424,mukeshgurpude,,1,1
37635083,NsdHSO,,1,1
46643864,Khushi24699,,0,1
29004466,davidackroyd99,,0,1
10787041,h4h18,,0,1
10235902,muhammetyurdan,,0,1
24352546,ketsindian,,0,1
30369246,rathijitpapon,,11,1
7145889,Boyce-Bellair,,0,1
34903088,mhmdbhsk,,0,1
66239105,Amoghtech,,0,1
39362365,huntertrammell,,0,1
80793630,Blazing-Mike,,3,1
26586086,bhantsi,,2,1
42211,brandonroberts,,6,1
66696421,cozyCodr,,1,1
60254117,jebitok-dev,,0,1
16942870,ThomasErhel,,7,1
30334776,BolajiAyodeji,,0,1
47711025,nobalpha,,4,1
75340837,TriStanNtn,,0,1
29648040,iamtheozzy,,1,1
349523,jwalter,,1,1
33669114,peteroneilljr,,1,1
1431853,mbchoa,,0,1
57017587,Liberontissauri,,1,1
49351279,gogocharli,,2,1
57826091,miralsuthar,,1,1
569510,henrik-ch,,4,1
48449428,iamjr15,,4,1
64662324,techn0gichida2,,0,1
67359053,DevenPerkins,,1,1
3340406,fundor333,,1,1
57373172,PaulKillian,,1,1
6265396,clarkio,,0,1
11777161,chadstewart,,3,1
908380,mojo706,,4,1
24217493,Jussii,,2,1
3450257,WaKeMaTTa,,1,1
4838867,microjumper,,0,1
667716,diminutivesloop,,10,1
46828701,idanceinbetween,,0,1
51794934,RubesWorld,,1,1
6842883,GianCastle,,1,1
2808728,raychatter,,0,1
36890230,JEbertPrime,,1,1
28281924,HeavyBR,,1,1
16315404,dhuvikamboj,,1,1
211851,justjeff,,1,1
527550,atzorvas,,2,1
3941126,m-anwr,,5,1
32903278,,,1,1
4573607,,,1,1
5467696,,,2,1
9935383,,,3,1
26205172,,,2,1
10012151,,1,1,1
29295102,,,1,1
4199845,,,6,1
5713670,,,13,1
62261622,sosplush,,0,1
8200073,salindae25,,1,1
83277146,ashwth,,1,1
74566464,Pandademic,1,0,1
5381468,tmarwen,,5,1
11589902,pac96,,0,1
76665107,carrollsa,,1,1
6499373,yasir2000,,0,1
22186029,BenjaminMichaelis,1,0,1
24910512,CyberFlameGO,,0,1
31227151,chodges7,1,2,1
469997,sobingt,,3,1
3662109,djdefi,,1,1
